City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
378,Vao,NC,74.43,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
380,Praia,CV,79.34,scattered clouds,14.9215,-23.5087,LT Aparthotel
382,Maneadero,MX,71.1,overcast clouds,31.7167,-116.5667,Casa De Thompson
384,Jaciara,BR,80.55,scattered clouds,-15.9653,-54.9683,Taba Hotel
385,Joshimath,IN,70.93,overcast clouds,30.5667,79.5667,Shivalik Camps & Resort
388,Paungde,MM,75.27,overcast clouds,18.4833,95.5,Shwe Eain Matt highly cool guest house
390,Wewak,PG,82.22,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
391,Karera,IN,83.07,overcast clouds,25.4667,78.15,श्री हिमांशु जोशी (निवास)
393,Kapit,MY,72.81,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
394,La Ronge,CA,73.65,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
395,Sur,OM,86.16,few clouds,22.5667,59.5289,Sur Plaza Hotel
397,Dengzhou,CN,82.35,moderate rain,37.8086,120.7508,Greentree Inn Penglai Free Harbor Business Hotel
400,Fuerte Olimpo,PY,74.82,overcast clouds,-21.0415,-57.8738,Hospedaje DAMI
401,Atlantic City,US,87.98,clear sky,39.3643,-74.4229,Courtyard by Marriott Atlantic City Beach Block
402,Sao Filipe,CV,78.08,light rain,14.8961,-24.4956,Hotel Xaguate
404,Binabalian,PH,80.6,light rain,16.4202,119.9279,Sundowners Vacation Villas
405,Hambantota,LK,77.36,overcast clouds,6.1241,81.1185,Bungalow 63
410,Komsomolskiy,UZ,74.55,clear sky,40.4272,71.7189,Ikathouse
411,Nishihara,JP,83.48,few clouds,26.1842,127.7558,Minshuku Agaihama
413,Khasan,RU,73.83,few clouds,42.4308,130.6434,Fangchuan Self-Driving Camp
417,Mahebourg,MU,70.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
421,Bengkulu,ID,73.8,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
422,Williamsburg,US,89.35,few clouds,37.2707,-76.7075,Comfort Suites Williamsburg Historic Area
423,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
424,Weligama,LK,76.78,overcast clouds,5.9667,80.4167,Weligama Bay Resort
426,Andros Town,BS,85.96,clear sky,24.7,-77.7667,Hanks place
427,Los Llanos De Aridane,ES,71.13,overcast clouds,28.6585,-17.9182,Valle Aridane
428,Houma,US,87.01,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
429,Watsonville,US,88.11,clear sky,36.9102,-121.7569,"Holiday Inn Express & Suites Watsonville, an IHG Hotel"
430,Tukrah,LY,79.25,clear sky,32.5341,20.5791,Lagrota restaurant
433,Banjarmasin,ID,71.74,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
437,Naze,JP,79.72,clear sky,28.3667,129.4833,Shishime Hotel
438,Suez,EG,77.54,clear sky,29.9737,32.5263,Green House
440,Nizwa,OM,87.8,broken clouds,22.9333,57.5333,Orient Apartments
441,Kavaratti,IN,80.65,overcast clouds,10.5669,72.642,Green leaf
442,Araceli,PH,82.15,overcast clouds,10.5529,119.9913,JBryan Traveler's Inn
443,Mogadishu,SO,75.56,broken clouds,2.0371,45.3438,Hotel Juba
445,Payson,US,76.48,broken clouds,40.0444,-111.7321,Quality Inn Payson I-15
446,Yenagoa,NG,73.13,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
447,Glenwood Springs,US,93.07,clear sky,39.5505,-107.3248,Glenwood Springs Cedar Lodge
448,Siderno,IT,80.33,clear sky,38.2779,16.302,Grand Hotel President
450,Teshie,GH,75.76,clear sky,5.5836,-0.1072,Best Western Plus Accra Beach Hotel
456,Oistins,BB,80.51,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
457,The Valley,AI,84.34,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
459,Ghansor,IN,74.98,overcast clouds,22.65,79.95,Hotel Shree hi
461,Makat,KZ,78.31,scattered clouds,47.6469,53.3463,Umit
467,Jalu,LY,79.83,clear sky,29.0331,21.5482,صاحبة الفخامة
468,Mitsamiouli,KM,74.98,clear sky,-11.3847,43.2844,Foyer ADM
470,Honiara,SB,85.73,scattered clouds,-9.4333,159.95,Heritage Park Hotel
472,Kibala,TD,73.35,light rain,9.1104,18.3463,Prasant Hotels
474,Tura,IN,73.81,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
475,Guaymas,MX,92.88,few clouds,27.9333,-110.9,"Holiday Inn Express Guaymas, an IHG Hotel"
478,Katobu,ID,72.63,overcast clouds,-4.9408,122.5276,La Ode Husein
483,Bambanglipuro,ID,75.63,overcast clouds,-7.95,110.2833,Puri Brata
485,Srandakan,ID,75.78,overcast clouds,-7.9386,110.2506,Puri Brata
486,Bairiki,KI,86.0,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
488,Tezu,IN,77.49,scattered clouds,27.9167,96.1667,Circuit House
490,Estelle,US,87.8,thunderstorm,29.8458,-90.1067,Ohio
494,Ambon,ID,77.23,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
497,Coroata,BR,77.61,few clouds,-4.13,-44.1242,Hotel Carvalho
499,Ler,SS,71.01,overcast clouds,8.3018,30.1418,Leer Humanitarian Hub
501,Fergus Falls,US,75.18,scattered clouds,46.283,-96.0776,AmericInn by Wyndham Fergus Falls Conference Center
502,Anito,PH,75.11,moderate rain,12.4497,125.2886,El Felix Cottages
505,Kumluca,TR,79.3,clear sky,36.3703,30.2869,Akkol Apart
506,Maumere,ID,75.61,few clouds,-8.6199,122.2111,Sylvia Hotel
507,Mareeba,AU,71.44,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
509,Ureki,GE,71.56,clear sky,41.9956,41.7786,Hotel Ritsa
510,Ohara,JP,79.36,broken clouds,35.25,140.3833,Sakigake
512,Alyangula,AU,71.47,mist,-13.8483,136.4192,Groote Eylandt Lodge
518,Tabuan,PH,75.56,overcast clouds,9.5156,122.8506,Upper Datong Lake
519,Polson,US,79.48,clear sky,47.6936,-114.1632,Americas Best Value Port Polson Inn
526,Kandrian,PG,82.15,overcast clouds,-6.2167,149.55,Kandrian Station
528,Tra Vinh,VN,75.45,overcast clouds,9.9347,106.3453,Hồng Ân
532,Meiktila,MM,75.11,broken clouds,20.8667,95.8667,The Floral Breeze Wunzin Hotel
534,Mamallapuram,IN,82.45,light rain,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
538,Aswan,EG,92.35,overcast clouds,24.0934,32.907,Nuba Nile
539,Dawson Creek,CA,73.04,clear sky,55.7666,-120.2362,Peace Villa Motel
540,Madoc,CA,89.78,few clouds,44.5084,-77.4745,Quality RV Services & Campground
541,Pierre,US,81.52,clear sky,44.3683,-100.351,Ramkota Hotel
546,Hailey,US,85.87,clear sky,43.5196,-114.3153,Wood River Inn & Suites
549,Acapulco,MX,84.58,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
552,Joao Pinheiro,BR,73.45,clear sky,-17.7425,-46.1725,Hotel Santos
553,Praia Da Vitoria,PT,73.76,thunderstorm with heavy rain,38.7333,-27.0667,Hotel Branco I
554,Atar,MR,93.78,overcast clouds,20.5169,-13.0499,Oumou Elghoura
555,Freeport,US,90.37,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
556,Shellbrook,CA,70.83,clear sky,53.2168,-106.4011,Shellbrook Hotel
558,Mirpur Sakro,PK,81.95,broken clouds,24.5474,67.6277,Ali muhammad’s house
559,Ambunti,PG,79.97,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
562,Iturama,BR,78.96,broken clouds,-19.7281,-50.1956,República DominaCana
564,Grand Gaube,MU,70.2,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
568,Sakaiminato,JP,82.38,few clouds,35.55,133.2333,Italian pasley
570,Itarema,BR,77.92,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
572,Sestri Levante,IT,85.91,few clouds,44.2732,9.3968,Grande Albergo
575,Mishan,CN,71.4,light rain,45.55,131.8833,Mishan Hotel
576,Trinidad,BO,73.38,broken clouds,-14.8333,-64.9,Hotel Piesta
577,Gazanjyk,TM,84.79,few clouds,39.2446,55.5154,Railway motel
579,Palmer,US,90.01,few clouds,42.1584,-72.3287,Wedgewood Motel
580,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
581,Carutapera,BR,78.1,scattered clouds,-1.195,-46.02,Lidera
582,Saint-Ambroise,CA,82.22,broken clouds,48.5501,-71.3324,Motel Saint-Ambroise
583,Ilebo,CD,77.41,broken clouds,-4.3167,20.5833,Hôtel BUMAK
590,Traverse City,US,89.67,broken clouds,44.7631,-85.6206,Bayshore Resort
594,Touros,BR,76.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
595,Coos Bay,US,82.31,clear sky,43.3665,-124.2179,Best Western Holiday Hotel
597,Waingapu,ID,72.79,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
599,Neyshabur,IR,76.23,clear sky,36.2133,58.7958,Amiran Hotel & Commercial Complex
607,Guiratinga,BR,79.03,scattered clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
608,Sharon,US,82.85,broken clouds,41.2331,-80.4934,Buhl Mansion Guesthouse & Spa
610,Amravati,IN,76.1,overcast clouds,20.9333,77.75,Hotel Indrapuri
611,Jalingo,NG,73.9,light rain,8.8833,11.3667,Debright Motel
612,Oussouye,SN,80.69,moderate rain,12.485,-16.5469,Auberge du Routard
615,Itaituba,BR,77.18,broken clouds,-4.2761,-55.9836,Hotel Campos
616,Salinopolis,BR,78.71,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
617,Poso,ID,77.41,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
622,Sao Felix Do Xingu,BR,75.11,broken clouds,-6.6447,-51.995,Rio Xingu Camping
628,Elizabeth City,US,87.82,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
629,Matara,LK,76.5,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
630,Valle De Allende,MX,87.58,scattered clouds,26.9333,-105.4,Hotel Meson de San Bartolome
631,Camargo,MX,92.25,scattered clouds,27.6667,-105.1667,Hotel Santa Fe
632,Limoux,FR,75.54,broken clouds,42.9167,2.1667,Vayamundo l'Espinet
633,Waterloo,CA,85.59,few clouds,43.4668,-80.5164,The Walper Hotel
634,Victoria,HK,83.32,broken clouds,22.2855,114.1577,Mini Central
635,Pemba,MZ,73.94,clear sky,-12.974,40.5178,Guesthouse Samotina
636,Yanam,IN,77.07,light rain,16.7333,82.2167,The Regency Hotel
637,Chiang Khong,TH,72.99,overcast clouds,20.2613,100.4046,Chiangkhong Green Inn Resident
640,Hurghada,EG,83.57,scattered clouds,27.2574,33.8129,Sea Star Beau Rivage Hotel
643,Boyolangu,ID,73.24,overcast clouds,-8.1181,111.8935,Yos ega cv
644,Dinar,TR,75.16,clear sky,38.065,30.1656,Dinar Öğretmenevi
645,Candolim,IN,79.5,overcast clouds,15.5181,73.7626,Resort Terra Paraiso
646,George Town,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
647,Key Largo,US,87.8,clear sky,25.0865,-80.4473,Bayside Inn Key Largo
649,Sadovoye,RU,77.02,broken clouds,47.7764,44.5089,Putnik
650,Tallahassee,US,87.01,scattered clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
651,Manicore,BR,87.75,clear sky,-5.8092,-61.3003,Hotel Durval
652,Ixtapa,MX,80.22,overcast clouds,20.7,-105.2,hotel la terminal
654,Morant Bay,JM,87.42,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
655,Tecoanapa,MX,84.15,overcast clouds,16.5167,-98.75,Hotel Manglares
656,Palauig,PH,78.66,moderate rain,15.435,119.9045,Villa Raphael Resort
657,Bowen,AU,70.18,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
658,Karia,NG,80.08,scattered clouds,11.7306,11.1629,Kasakchiya Luxury Suites
660,Shahdadpur,PK,80.6,scattered clouds,25.9241,68.62,GPF-1 Accomodation
662,Havelock,US,89.06,clear sky,34.8791,-76.9013,Sherwood Motel
664,Mocajuba,BR,80.92,broken clouds,-2.5842,-49.5072,Hotel Saylon Mocajuba
667,Ozu,JP,88.18,broken clouds,33.5,132.55,HOTEL FOREST
669,Rafraf,TN,80.91,clear sky,37.1904,10.1837,Les Jardins de la Mer Ghar el Melh
670,Johnson City,US,82.56,clear sky,36.3134,-82.3535,Hampton Inn Johnson City
671,Dubovka,RU,74.35,scattered clouds,49.0583,44.829,Mini-Hotel on Severnaya
672,Wadi Maliz,TN,80.26,clear sky,36.4681,8.5495,Heremony
673,Ishigaki,JP,86.13,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
674,Fortuna,US,72.93,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
675,Sibolga,ID,75.13,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
679,Puerto Baquerizo Moreno,EC,72.59,broken clouds,-0.9,-89.6,Hotel los Algarrobos
680,Phan Thiet,VN,77.65,overcast clouds,10.9333,108.1,Hotel Saigon-PT
684,Ponta Delgada,PT,72.32,few clouds,37.7333,-25.6667,Vila Nova Hotel
686,Voh,NC,81.05,scattered clouds,-20.9667,164.7,Le gîte du Koniambo
691,Nakhon Thai,TH,74.37,moderate rain,17.1006,100.8374,อี๊ฟกะแอมป์รีสอร์ท EVEKAAMP Resort
692,Sainte-Rose,GP,79.18,overcast clouds,16.3324,-61.6979,Habitation du Comté - Hotel à Sainte-Rose
694,Fukue,JP,83.64,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
698,Mangalia,RO,74.07,clear sky,43.8,28.5833,Hotel Paradiso
701,Aurora,US,85.6,thunderstorm,39.7294,-104.8319,Best Western Plus Gateway Inn & Suites
704,Xingcheng,CN,77.34,light rain,40.6167,120.7167,New Century Hotel
705,Sao Gabriel Da Cachoeira,BR,79.21,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
707,San Rafael Del Sur,NI,74.37,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
708,Ruston,US,94.82,clear sky,32.5232,-92.6379,Sleep Inn & Suites University
712,Brownsville,US,94.95,few clouds,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
713,Solano,US,89.92,clear sky,38.2333,-121.9511,Westwind Inn
714,Kieta,PG,83.79,light rain,-6.2167,155.6333,Uruna Bay Retreat
721,Davila,PH,80.58,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
722,Galt,US,94.01,clear sky,38.2546,-121.3,Best Western Galt Inn
724,Itoman,JP,84.97,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
725,Jacqueville,CI,75.22,clear sky,5.2052,-4.4146,Hotel Le Martin Pecheur
726,Asyut,EG,85.86,scattered clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
729,Westport,US,88.29,overcast clouds,41.1415,-73.3579,The Westport Inn
